time,Currency,Price
2023-05-04 23:39:30.048715,BTCUSDT,28869.24000000
2023-05-04 23:39:30.269215,ETHUSDT,1875.94000000
2023-05-04 23:39:30.488729,BTCUSDT,28869.24000000
2023-05-04 23:39:30.700289,ETHUSDT,1875.94000000
2023-05-04 23:39:30.906573,BTCUSDT,28869.24000000
2023-05-04 23:39:31.125635,ETHUSDT,1875.94000000
2023-05-04 23:39:31.671388,BTCUSDT,28869.25000000
2023-05-04 23:39:31.890421,ETHUSDT,1875.94000000
2023-05-04 23:39:32.108926,BTCUSDT,28869.25000000
2023-05-04 23:39:32.315524,ETHUSDT,1875.94000000
2023-05-04 23:39:32.522718,BTCUSDT,28869.24000000
2023-05-04 23:39:32.730384,ETHUSDT,1875.94000000
2023-05-04 23:39:32.940866,BTCUSDT,28869.24000000
2023-05-04 23:39:33.512120,ETHUSDT,1875.93000000
2023-05-04 23:39:33.723597,BTCUSDT,28869.24000000
2023-05-04 23:39:33.939004,ETHUSDT,1875.93000000
2023-05-04 23:39:34.536209,BTCUSDT,28869.24000000
2023-05-04 23:39:34.750259,ETHUSDT,1875.94000000
2023-05-04 23:39:35.284110,BTCUSDT,28869.19000000
2023-05-04 23:39:35.503565,ETHUSDT,1875.93000000
2023-05-04 23:39:36.009616,BTCUSDT,28869.01000000
2023-05-04 23:39:36.532651,ETHUSDT,1875.93000000
2023-05-04 23:39:36.750509,BTCUSDT,28869.00000000
2023-05-04 23:39:36.978420,ETHUSDT,1875.93000000
2023-05-04 23:39:37.506564,BTCUSDT,28868.99000000
2023-05-04 23:39:37.726449,ETHUSDT,1875.94000000
2023-05-04 23:39:37.943928,BTCUSDT,28868.99000000
2023-05-04 23:39:38.162095,ETHUSDT,1875.94000000
2023-05-04 23:39:38.388397,BTCUSDT,28868.99000000
2023-05-04 23:39:38.594157,ETHUSDT,1875.94000000
2023-05-04 23:39:38.807453,BTCUSDT,28869.00000000
2023-05-04 23:39:39.016887,ETHUSDT,1875.93000000
2023-05-04 23:39:39.242098,BTCUSDT,28869.00000000
2023-05-04 23:39:39.456397,ETHUSDT,1875.93000000
2023-05-04 23:39:39.682463,BTCUSDT,28869.00000000
2023-05-04 23:39:39.899843,ETHUSDT,1875.93000000
2023-05-04 23:39:40.123350,BTCUSDT,28869.00000000
2023-05-04 23:39:40.682733,ETHUSDT,1875.94000000
2023-05-04 23:39:40.893641,BTCUSDT,28869.00000000
2023-05-04 23:39:41.104737,ETHUSDT,1875.94000000
2023-05-04 23:39:41.318717,BTCUSDT,28869.00000000
2023-05-04 23:39:41.530267,ETHUSDT,1875.93000000
2023-05-04 23:39:41.747043,BTCUSDT,28869.00000000
2023-05-04 23:39:42.317301,ETHUSDT,1875.93000000
2023-05-04 23:39:42.541843,BTCUSDT,28872.29000000
2023-05-04 23:39:42.751665,ETHUSDT,1875.99000000
2023-05-04 23:39:42.967268,BTCUSDT,28872.29000000
2023-05-04 23:39:43.189022,ETHUSDT,1875.99000000
2023-05-04 23:39:43.407229,BTCUSDT,28872.30000000
2023-05-04 23:39:43.627423,ETHUSDT,1875.99000000
2023-05-04 23:39:43.848927,BTCUSDT,28872.30000000
2023-05-04 23:39:44.060595,ETHUSDT,1876.00000000
2023-05-04 23:39:44.283729,BTCUSDT,28872.29000000
2023-05-04 23:39:44.505473,ETHUSDT,1876.09000000
2023-05-04 23:39:44.721380,BTCUSDT,28872.29000000
2023-05-04 23:39:45.228535,ETHUSDT,1875.91000000
2023-05-04 23:39:45.444776,BTCUSDT,28868.42000000
2023-05-04 23:39:45.659164,ETHUSDT,1875.85000000
2023-05-04 23:39:45.867556,BTCUSDT,28868.42000000
2023-05-04 23:39:46.079592,ETHUSDT,1875.83000000
2023-05-04 23:39:46.292831,BTCUSDT,28867.81000000
2023-05-04 23:39:46.581252,ETHUSDT,1875.83000000
2023-05-04 23:39:46.791205,BTCUSDT,28867.81000000
2023-05-04 23:39:47.009546,ETHUSDT,1875.83000000
2023-05-04 23:39:47.218726,BTCUSDT,28867.81000000
2023-05-04 23:39:47.441615,ETHUSDT,1875.83000000
2023-05-04 23:39:47.650037,BTCUSDT,28867.81000000
2023-05-04 23:39:47.859064,ETHUSDT,1875.83000000
2023-05-04 23:39:48.075479,BTCUSDT,28867.80000000
2023-05-04 23:39:48.293642,ETHUSDT,1875.83000000
2023-05-04 23:39:48.812717,BTCUSDT,28867.80000000
2023-05-04 23:39:49.032479,ETHUSDT,1875.83000000
2023-05-04 23:39:49.245093,BTCUSDT,28867.80000000
2023-05-04 23:39:49.460383,ETHUSDT,1875.83000000
2023-05-04 23:39:49.670370,BTCUSDT,28867.81000000
2023-05-04 23:39:49.883314,ETHUSDT,1875.83000000
2023-05-04 23:39:50.104420,BTCUSDT,28867.80000000
2023-05-04 23:39:50.316444,ETHUSDT,1875.83000000
2023-05-04 23:39:50.532651,BTCUSDT,28867.06000000
2023-05-04 23:39:50.745829,ETHUSDT,1875.83000000
2023-05-04 23:39:50.966749,BTCUSDT,28867.04000000
2023-05-04 23:39:51.194460,ETHUSDT,1875.83000000
2023-05-04 23:39:51.411549,BTCUSDT,28867.04000000
2023-05-04 23:39:51.637078,ETHUSDT,1875.83000000
2023-05-04 23:39:51.842036,BTCUSDT,28867.04000000
2023-05-04 23:39:52.055252,ETHUSDT,1875.83000000
2023-05-04 23:39:52.284211,BTCUSDT,28866.99000000
2023-05-04 23:39:52.505939,ETHUSDT,1875.83000000
2023-05-04 23:39:52.717704,BTCUSDT,28866.99000000
2023-05-04 23:39:52.928534,ETHUSDT,1875.83000000
2023-05-04 23:39:53.137155,BTCUSDT,28866.99000000
2023-05-04 23:39:53.337749,ETHUSDT,1875.82000000
2023-05-04 23:39:53.553250,BTCUSDT,28866.99000000
2023-05-04 23:39:53.761149,ETHUSDT,1875.82000000
2023-05-04 23:39:53.978976,BTCUSDT,28867.00000000
2023-05-04 23:39:54.190687,ETHUSDT,1875.82000000
2023-05-04 23:39:54.716861,BTCUSDT,28870.20000000
2023-05-04 23:39:54.926326,ETHUSDT,1876.18000000
2023-05-04 23:39:55.135114,BTCUSDT,28872.75000000
2023-05-04 23:39:55.345345,ETHUSDT,1876.18000000
2023-05-04 23:39:55.562370,BTCUSDT,28872.98000000
2023-05-04 23:39:55.776038,ETHUSDT,1876.18000000
2023-05-04 23:39:55.984390,BTCUSDT,28872.98000000
2023-05-04 23:39:56.207900,ETHUSDT,1876.18000000
2023-05-04 23:39:56.422655,BTCUSDT,28872.98000000
2023-05-04 23:39:56.638437,ETHUSDT,1876.18000000
2023-05-04 23:39:56.844177,BTCUSDT,28872.98000000
2023-05-04 23:39:57.063098,ETHUSDT,1876.18000000
2023-05-04 23:39:57.278263,BTCUSDT,28872.98000000
2023-05-04 23:39:57.493483,ETHUSDT,1876.14000000
2023-05-04 23:39:57.712003,BTCUSDT,28868.41000000
2023-05-04 23:39:57.925427,ETHUSDT,1875.89000000
2023-05-04 23:39:58.143162,BTCUSDT,28868.36000000
2023-05-04 23:39:58.358476,ETHUSDT,1875.89000000
2023-05-04 23:39:58.575379,BTCUSDT,28868.36000000
2023-05-04 23:39:58.794597,ETHUSDT,1875.82000000
2023-05-04 23:39:59.297601,BTCUSDT,28868.36000000
2023-05-04 23:39:59.526360,ETHUSDT,1875.82000000
2023-05-04 23:39:59.744517,BTCUSDT,28868.36000000
2023-05-04 23:39:59.953083,ETHUSDT,1875.80000000
2023-05-04 23:40:00.182057,BTCUSDT,28868.35000000
2023-05-04 23:40:00.400627,ETHUSDT,1875.70000000
2023-05-04 23:40:00.608888,BTCUSDT,28866.00000000
2023-05-04 23:40:00.833159,ETHUSDT,1875.69000000
2023-05-04 23:40:01.043849,BTCUSDT,28866.00000000
2023-05-04 23:40:01.261203,ETHUSDT,1875.69000000
2023-05-04 23:40:01.485267,BTCUSDT,28865.99000000
2023-05-04 23:40:01.701991,ETHUSDT,1875.69000000
2023-05-04 23:40:01.915398,BTCUSDT,28865.99000000
2023-05-04 23:40:02.129403,ETHUSDT,1875.69000000
2023-05-04 23:40:02.694034,BTCUSDT,28864.78000000
2023-05-04 23:40:03.313243,ETHUSDT,1875.54000000
2023-05-04 23:40:03.528373,BTCUSDT,28864.63000000
2023-05-04 23:40:03.749924,ETHUSDT,1875.54000000
2023-05-04 23:40:03.967585,BTCUSDT,28864.62000000
2023-05-04 23:40:04.192004,ETHUSDT,1875.54000000
2023-05-04 23:40:04.409795,BTCUSDT,28864.62000000
2023-05-04 23:40:04.630928,ETHUSDT,1875.54000000
2023-05-04 23:40:04.847220,BTCUSDT,28864.62000000
2023-05-04 23:40:05.069939,ETHUSDT,1875.54000000
2023-05-04 23:40:05.289957,BTCUSDT,28864.63000000
2023-05-04 23:40:05.509829,ETHUSDT,1875.54000000
2023-05-04 23:40:05.722542,BTCUSDT,28864.62000000
2023-05-04 23:40:05.936307,ETHUSDT,1875.54000000
2023-05-04 23:40:06.142919,BTCUSDT,28864.62000000
2023-05-04 23:40:06.358891,ETHUSDT,1875.54000000
2023-05-04 23:40:06.606723,BTCUSDT,28864.08000000
2023-05-04 23:40:06.815332,ETHUSDT,1875.37000000
